apache2,Apache License Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,http://www.apache.org/licenses/LICENSE-2.0.txt
apache1,Apache Software License Version 1.1,,http://www.apache.org/licenses/LICENSE-1.1
lgpl2,Lesser GPL v2.1,http://www.opensource.org/licenses/lgpl-2.1.php,
bsd,Berkeley License,http://www.opensource.org/licenses/bsd-license.php,
sunbinary,Binary Code License Agreement,https://cds.sun.com/is-bin/INTERSHOP.enfinity/WFS/CDS-CDS_Developer-Site/en_US/-/USD/ViewLicense-Start?LicenseUUID=mtrACUFBzm4AAAEYkcI5AXh_&ProductUUID=zFnACUFBlVoAAAEYhxc5AXt.,
bouncy,Bouncy Castle License,http://www.bouncycastle.org/licence.html,
cddl+gpl,CDDL + GPLv2,https://glassfish.dev.java.net/public/CDDL+GPL.html,
icu,ICU License,http://source.icu-project.org/repos/icu/icu/trunk/license.html,
wrapper,Community License,http://wrapper.tanukisoftware.org/doc/english/licenseCommunity.html,
epl1,Eclipse Public License,http://www.eclipse.org/legal/epl-v10.html,
mit,MIT License,http://www.opensource.org/licenses/mit-license.php,
ccpd,Creative Commons Public Domain,http://creativecommons.org/licenses/publicdomain,
hsqldb,HSQLDB License,http://hsqldb.org/web/hsqlLicense.html,
mpl11,Mozilla Public License 1.0,http://www.mozilla.org/MPL/MPL-1.1.html,
mpl10,Mozilla Public License 1.0,http://www.mozilla.org/MPL/,
asm,ASM License,http://asm.objectweb.org/license.html,
cddl1,Common Development and Distribution License,http://www.opensource.org/licenses/cddl1.php,
